Module,Section,Question,1: Nonexistent,2: Basic,3: Adequate,4: Comprehensive,5: Exceptional
Four: Data Use,Data Use for Decision-making,6. How frequently is data analyzed to inform programmatic decisions?,No data analysis conducted,"Data analysis is infrequent and not systematic, occurs on an ad hoc basis, often in response to specific issues rather than as part of a planned, strategic approach.  ",Data analysis occurs frequently but may not always be integrated into decision-making ,"Data analysis occurs regularly and integrated into some decision-making processes. Analysis is scheduled (e.g., monthly or quarterly), providing a basis for programmatic decisions","Data analysis is a continuous and integral part of the decision-making process, data is collected and analyzed in real-time or near-real-time, ensuring that programmatic decisions are informed by the most current information available."
Four: Data Use,Data Use for Decision-making,7. There are trained staff members responsible for data analysis and interpretation,No staff trained on data,"Lacks specifically trained staff for data analysis and interpretation, data-related tasks are handled ad hoc other staff members",Some staff trained and are responsible for data analysis and interpretation but no standardized way in  contributing to decision-making processes,Most staff are trained in data analysis and are able to contribute to decision-making,"Dedicated team of trained data staff working closely with decision-makers to provide timely, accurate, and actionable insights from data"
Four: Data Use,Data Use for Decision-making,8. Are stakeholders provided with opportunities to contribute insights and perspectives based on data?,Stakeholders are not part of the data process,Provides limited opportunities for  stakeholders to contribute insights and perspectives based on data,"Provides some limited and infrequent opportunities for stakeholders to engage with data, with unstructured feedback processes","Provides some opportunities for stakeholders to engage with data, with structured feedback processes","Actively encourages and facilitates regular stakeholder engagement in data analysis and decision-making processes, hosts regular data discussion meetings with feedback mechanisms in place"
Four: Data Use,Data Use for Decision-making,9. The organization is responsive to changes in data trends or emerging issues,Not responsive to change,Limited responsiveness to changes in data trends and emerging issues. Data monitoring and analysis may be infrequent,"Moderate level of responsiveness to changes in data trends and emerging issues, regularly reviews data reports and tracks key metrics","Comprehensive level of responsiveness to change, incorporating all key staff in the process","Exceptional responsiveness, continuously monitors key performance indicators and external data sources to identify shifts"
Four: Data Use,Data Use for Decision-making,"10. Does the organization have evaluations of its projects and programs? If so, how often? Were evaluations internal or external?",No evaluations conducted,Some internal evaluations conducted,Some internal and external evaluations conducted,Both internal and external evaluations conducted ,Both internal and external evaluations conducted and findings used to inform and adjust implementation
Four: Data Use,Data Use for Decision-making,11. Are evaluation findings shared widely with the organization?,No evaluations conducted,Some evaluation findings shared with some team members,Some evaluation findings shared with some team members,All evaluation findings shared with all relevant team members,All evaluation findings shared with all relevant team members and used to inform implementation
Four: Data Use,Data Use for Decision-making,12. Do staff have a good ability to review the quality of evaluations and address the findings and recommendations in existing and new programs?,No capacity to review evaluation quality,Some relevant staff have capacity to review quality of evaluations and findings,All relevant staff have capacity to review quality of evaluation and findings,"All relevant staff have capacity to review quality of evaluation and findings, and address recommendations in existing programs","All relevant staff have capacity to review quality of evaluation and findings, and address recommendations in existing and new programs"
Five: Sustainability,Stakeholder Involvement,1. Stakeholders are actively involved in project design and program implementation.,No involvement ,Minimal involvement,Moderate level of involvement,Full involvement with some opportunity for feedback,Stakeholders are deeply involved and regularly provide feedback
Five: Sustainability,Stakeholder Involvement,2. Are there clear channels of communication that can be used by stakeholders to raise issues ,No clear channels for stakeholders to communicate issues,Minimal channels for stakeholders to communicate issues,"Provides some channels for stakeholders to raise issues, but these may not be as diverse or as effectively monitored as needed", Provides channels for stakeholders to raise issues and are effectively monitored as needed,"Established multiple, well-defined channels of communication that are easily accessible to all stakeholders for raising issues"
Five: Sustainability,Stakeholder Involvement,"3. Does the org share findings, recommendations of assessments, studies, plans and evaluations with key stakeholders",No transparency ,"Minimal sharing of findings with its stakeholders. Communication is minimal, sporadic, or non-existent",Shares findings and recommendations ,Shares findings with some transparency ,Exhibits a high level of transparency and actively engages with key stakeholders on a regular basis
Five: Sustainability,Resource Mobilization,1. Does the org have sufficient financial resources to continue existing programs next year without new donor funding,No financial resources to continue existing programming,"Faces significant financial challenges, with minimal reserves and heavy reliance on new donor funding to sustain existing programs",Moderate financial resources and some reserves but there may be constraints,Comprehensive reserves with some reservations of funding into the following years,Strong financial foundation with sufficient reserves to fully support all existing programs for the next year without relying on new donor funding
Five: Sustainability,Resource Mobilization,2. Does the org have sufficient financial resources to continue existing programs in the next 5 years without new donor funding,No financial resources to continue existing programming,"Faces significant financial challenges, with minimal reserves and heavy reliance on new donor funding to sustain existing programs",Moderate financial resources and some reserves but there may be constraints,Comprehensive reserves with some reservations of funding into the following years,Strong financial foundation with sufficient reserves to fully support all existing programs for the next year without relying on new donor funding
Five: Sustainability,Resource Mobilization,3. How would the organization weather an unexpected reduction in funding?,Not able to weather unexpected reduction in funding ,May be able to handle some reduction in funding but no contingency plan ,"Somewhat equipped to handle unexpected reductions in funding, with no financial reserves ","Some level of preparedness for unexpected reductions in funding, with limited financial reserves and a general plan for navigating financial shortfalls.","Well-prepared for unexpected reductions in funding, with strong financial reserves and a robust contingency plan in place"
Five: Sustainability,HIV Integration and Sustainability,1. Is there a current framework for integrating HIV services into public/private health systems?,No framework or plans for integration,Limited discussions around integration,Some discussions and draft plans for integration ,Documented plan for integration,Documented plan for integration and currently being implemented
Five: Sustainability,HIV Integration and Sustainability,2. Does the organization have established guidelines or protocols for HIV service delivery integration?,No guidelines for HIV service integration,Informal guidelines for HIV integration,Formal guidelines exist for integration but not being used,Formal guidelines exist for integration and being used,"Formal guidelines exist for integration, are reviewed regularly "
Five: Sustainability,HIV Integration and Sustainability,3. Are there initiatives to strengthen health information exchange for improved service coordination and continuity of care?,No information exchange ,Informal information exchange,Formal and documented information exchange,"Formal and documented information exchange, reviewed sometimes","Formal and documented information exchange, reviewed regularly"
Five: Sustainability,Partnerships,1. Are you working collaboratively with the government towards sustainability?,Not working with gov’t on sustainability ,Informally working with the gov’t on sustainability ,Formally working with gov’t on sustainability ,"Formally working with gov’t on sustainability with documented goals and objectives, meeting sometimes","Formally working with gov’t on sustainability with documented goals and objectives, with set structured meetings "
Five: Sustainability,Partnerships,2. How are partnerships leveraged for service delivery and/or to identify innovative financing opportunities?,Partnerships are not leveraged ,A few partnerships have been leveraged to discuss financing opportunities ,Some partnerships have been leveraged to discuss and identify financing opportunities ,"Most partnerships have been leveraged to discuss and identify financing opportunities, with a developed plan of action","Partnerships have led to identified financing opportunities, with a developed plan of action"
